Shop Name,Phone Number
কাজী টেকনোলজি,N/A
এসএস কম্পিউটার | মিরপুর-10,01643-946107
ল্যাপটপ ওয়ার্ল্ড বিডি,01861-999948
ইউ টেক বিডী,01711-385849
ওয়ার্ল্ড কম্পিউটার সিস্টেম,01618-927565
গ্রিন টেকনোলজি,01315-090371
ইট বিডি শপ,01710-913417
ল্যাপটপ সোর্স,01724-406156
21 টেকনোলজি,01304-231600
ল্যাপটপ লাউঞ্জ,01631-898580
ল্যাপটপ টেরিটোরি,01779-811661
ল্যাপটপ স্টেশন,01815-807070
প্ল্যানেট ইট বিডি,01719-706250
আর কম্পিউটার্স,01631-003820
কম্পিউটার ক্যাসল,01726-300494
এমসি সলিউশন বিডি ( মিরপুর ব্রাঞ্চ ),01407-056597
কম্পিউটার পয়েন্ট,01911-266791
Laptop House BD,01773-062835
আইটি শপ,01872-176467
এ১ কমপিউটারস,01911-707020
অ্যাপোলো গ্যাজেট,01982-628412
আব্দুল্লাহ কম্পিউটার সায়েন্স,01640-888882
Smart Buy Laptops,01785-626326
ল্যাপটপ মার্ট,01787-895833
Treematrik,01817-042433
Maraya Global (Mirpur Branch),01606-590629
ফারুক ইট সলিউশন,01995-758211
আর কম্পিউটার প্লাস,01799-020349
ও2 ট্রেড ইন্টারন্যাশনাল,01681-939426
এসকে কম্পিউটার,01710-378513
Mirpur Computer মিরপুর কম্পিউটার,01921-669268
ইউনিভার্স কম্পিউটার কেয়ার,01934-386987
প্রভেন কম্পিউটার,01706-920652
এএন নূর আইটি সোর্স,01978-855233
ওয়েষ্টার্ন ল্যাপটপ,01642-180664
এস. আর. কম্পিউটার,01912-830736
আর-ওয়ান কম্পিউটার(মিরপুর-10),01631-003810
বিএম কম্পিউটার্স (ঢাকা আউটলেট),01966-000225
আরএস ট্রেড ইন্ট,01845-733937
মাস্টার টেক বিডি,01750-885981
রিলায়েবলবাজার,01682-212191
রিজ কম্পিউটার বিডি,01628-165623
ডিএস টেকনোলজি,01712-191496
জাহিদ অ্যাসোসিয়েটস,01638-792833
ডিজিটাল কম্পিউটারস,01711-066824
এ ত জেড টেকনোলজি,01827-083040
জুম ইট সলিউশন,01768-482326
ল্যাপটপ ভিলা,01710-528906
লিবারেল আইটি,01793-466420
পিসি টেক,01822-695675
রিমেক্স টেক বিডি,01748-999888
এইচ আর কম্পিউটার,01989-599513
1833 টেক বিডি,01711-355414
One Touch Plus,01611-067479
ওরিজিন টেকনোলজি,01707-400005
এক্সেলেন্ট টেকনোলজি বিডি,01913-004278
ইসলামিক কম্পিউটার এন্ড ট্রেনিং সেন্টার,01672-470701
ড্রিম কম্পিউটার,01989-155427
TOTAL 360,01829-355555
উইণ্টপ,01601-299327
প্রিন্স কম্পিউটার এন্ড টেকনোলজি,01920-010001
গুগল পয়েন্ট শপ,01626-803296
হিটেক এন্টারপ্রাইজ,01901-025790
এইচকে টেকনোলজি,01765-576665
রারও টেক,01303-922737
কোয়ালিটি টেক,01701-003371
গম টেক,01618-216141
গ্যাজেট বিডি 71,01711-070922
ল্যাপটপ প্রাইম,01971-578204
বেষ্ট ল্যাপটপ,N/A
আপেল পার্ক,01788-335033
ড্রিম টেকনোলজি,01811-947237
Laptop Point BD,N/A
KAASHIF TECHNOLOGY,01935-814007
আদিল কম্পিউটার কর্ণার,01818-069794
ইট ভ্যালি,01753-331205
সার্ভার স্পরে পার্টস,01716-093650
নিক্সসলেটেক,01620-360090
ইবরাহিম কম্পিউটার ওয়ার্ল্ড,01686-440710
স্মার্ট কম্পিউটার এন্ড সাইবার ক্যাফে,01737-195422
রিপন কম্পিউটার,01926-187475
গেমারস সাইড,01515-298013
ওয়াল্টন প্লাজা মিরপুর-10,01678-048572
ইজি & এফিশিয়েন্ট সলিউশন,01611-863754
ডিজিটাল পয়েন্ট,01999-930014
Device Mama,N/A
বেস্ট ল্যাপটপ গ্যালারী,01703-808715
ক্যামেরা & গ্যাজেট মিরপুর,01673-418186
গ্যাজেট & গিয়ার (মিরপুর 11),01322-883303
বিসমিল্লাহ ফটোকপি & স্টেশনারী,01841-747910
ওয়াল্টন মিরপুর 10,01676-005319
ওয়ালটন প্লাজা মিরপুর-১১,01686-692020
ল্যাপটপ ওয়ার্ল্ড জনে,01686-129295
সিডি গ্যালারি,01959-504990
তাকওয়া ল্যাপটপ জনে,01708-374850
আফিফ কম্পিউটার টেকনোলজি,01915-877126
"ওয়ালটন প্লাজা, প্রশিকার মোড়",01686-691943
এস. এন কম্পিউটার টেকনোলজি,01671-439245
ফিক্সইট,01930-800277
(এক্স-টেলিকম)সামসাং অথোরাইজড শপ মিরপুর 10,01777-799297
Transcom Digital,01713-189844
রিয়েল ভিউ কম্পিউটার্স,01680-052236
পিসি সাপোর্ট,01987-296608
টেক & টেকনোলজি 24,01705-955794
Laptop Shop,N/A
আলাক সেলস অ্যান্ড সার্ভিস,01670-445455
খান কম্পিউটার কেয়ার সেন্টার,01704-648266
ইলেকট্রিক্যাডমিডিয়া,01640-388828
ওয়ালটন মিরপুর 2,01796-500284
আকাশ ইলেকট্রনিক্স,01973-344733
এমআর কম্পিউটার অ্যান্ড সার্ভিস,01675-709045
নয়ন টেলিকম,01977-524045
পারফেক্ট সলিউশন বিডি,01609-699945
আল আমিন ইলেকট্রিক ও ইলেকট্রনিক্স শপ,01722-239316
বেষ্ট স্মার্টফোন রিপেয়ার সেন্টের ইন ঢাকা |আইফোন |সামসাং |হুয়াওয়েই |শাওমি |ওয়ান_প্লাস,01758-894593
Lap Tech,N/A
নেট ল্যান্ড সিস্টেম বাংলাদেশ,01841-843155
অনন্য কম্পিউটার,N/A
আল-হেরা কম্পিউটার একাডেমী,01681-853352
ইচ্ছেঘর অনলাইন শপ,01601-055500
